ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.57946,0.14534,0.23239,3

ROUGE-1+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.71234,0.07207,0.13089,3

ROUGE-2+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.34015,0.02932,0.05399,3

ROUGE-SU4+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.45054,0.03379,0.06286,3

ROUGE-L+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.43312,0.20779,0.28085,3

ROUGE-1+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.56639,0.11691,0.19382,3

ROUGE-2+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.26257,0.04285,0.07367,3

ROUGE-SU4+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.36551,0.04860,0.08579,3

ROUGE-L+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.64268,0.11493,0.19499,5

ROUGE-1+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.79050,0.07598,0.13864,5

ROUGE-2+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.38689,0.02807,0.05234,5

ROUGE-SU4+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.54088,0.03209,0.06059,5

ROUGE-L+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.65257,0.15640,0.25233,4

ROUGE-1+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.75940,0.08376,0.15088,4

ROUGE-2+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.35399,0.03321,0.06073,4

ROUGE-SU4+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.48152,0.03836,0.07106,4

ROUGE-L+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.52930,0.16024,0.24600,3

ROUGE-1+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.68316,0.10816,0.18675,3

ROUGE-2+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.25992,0.03485,0.06146,3

ROUGE-SU4+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.39210,0.04646,0.08307,3

ROUGE-L+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.39196,0.17880,0.24558,3

ROUGE-1+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.53844,0.10437,0.17485,3

ROUGE-2+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.18577,0.03018,0.05193,3

ROUGE-SU4+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.30306,0.04031,0.07115,3

ROUGE-L+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.57561,0.18570,0.28081,3

ROUGE-1+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.68045,0.11515,0.19697,3

ROUGE-2+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.29614,0.03987,0.07028,3

ROUGE-SU4+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.43449,0.04548,0.08234,3

ROUGE-L+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.57258,0.14000,0.22499,3

ROUGE-1+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.69848,0.06281,0.11526,3

ROUGE-2+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.29556,0.02181,0.04062,3

ROUGE-SU4+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.44613,0.02644,0.04991,3

ROUGE-L+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.40348,0.16561,0.23483,3

ROUGE-1+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.61262,0.09509,0.16463,3

ROUGE-2+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.27264,0.02906,0.05253,3

ROUGE-SU4+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.37625,0.03763,0.06841,3

ROUGE-L+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.77171,0.11070,0.19363,4

ROUGE-1+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.85865,0.05565,0.10452,4

ROUGE-2+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.57494,0.02532,0.04851,4

ROUGE-SU4+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.65505,0.02518,0.04850,4

ROUGE-L+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.49180,0.20346,0.28784,3

